number,name,passed,details,metrics_json
1,Запуск программы,True,program entry scenario produced a valid JSON result,"{""status"": ""ok""}"
2,Прием четырех каналов и метаданных,True,4-channel CSV and sidecar metadata were written and read,"{""samples"": 2400}"
3,Обработка файлового режима,True,CSV and WAV file modes were accepted,"{""csv_samples"": 2400, ""wav_samples"": 2400}"
4,Учет температуры и влажности,True,sound speed changes with temperature and humidity,"{""base_speed"": 343.42, ""warm_speed"": 350.1}"
5,Фильтрация сигнала с шумом,True,noisy signal window was filtered and marked informative,"{""mean_rms"": 0.41100290868946904, ""mean_abs_correlation"": 0.5330208426101962}"
6,Оценка TDOA из аудио через GCC-PHAT,True,GCC-PHAT recovered TDOA delays from a synthetic four-channel pulse,"{""max_delay_error_s"": 0.0, ""min_quality"": 0.9969609696948202}"
7,Корректность TDOA на синтетике,True,synthetic TDOA direction estimate matches the reference direction,"{""direction_error"": -2.220446049250313e-16, ""used_pairs"": 6}"
8,Подавление отраженного пути,True,single reflected/false TDOA pair was rejected,"{""rejected_pairs"": 1, ""direction_error"": -2.220446049250313e-16}"
9,Вычисление направления и координат,True,direction and allowed near-field 3D position modes computed successfully,"{""position_error_m"": 8.425186292881708e-10, ""direction_error"": 0.0}"
10,JSON/CSV-выход и журнал,True,JSON result and CSV window log were written,"{""json_bytes"": 970, ""csv_bytes"": 1133}"
11,Время обработки окна,True,single-window preprocessing time is below the window duration,"{""elapsed_s"": 0.0033943000016734004, ""window_duration_s"": 0.042666666666666665}"
12,Отсутствие одного канала,True,missing channel was rejected with a clear error,"{""error"": ""CSV row 1 must contain exactly four channels""}"
13,Некорректные параметры среды,True,invalid environment was rejected,"{""error"": ""temperature_c must be in the range [-80, 80]""}"
14,Недостаточная информативность сигнала,True,silent window was marked insufficiently informative,"{""mean_rms"": 0.0, ""reason"": ""low_energy""}"
15,Длительный повторный прогон,True,repeated tracking run completed without rejected valid windows,"{""repeat_count"": 100, ""accepted"": 100, ""elapsed_s"": 0.6995981999789365}"
